Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6
2003 38 3;497;022033830010;1;0;0;0;0;0;0;0;0;0
2003 38 3;498;022033830154;1;1;0;0;0;0;0;0;0;0
2003 38 3;499;022033830167;1;1;0;0;0;0;0;0;0;0
2003 38 3;500;022033830170;1;1;0;0;0;0;0;0;0;0
2003 38 3;501;022033830223;2;1;0;0;0;0;0;0;0;0
2003 38 3;502;022033830469;2;0;1;0;0;0;0;0;0;0
2003 38 3;503;022033830019;2;1;0;0;0;0;0;1;0;0
2003 38 3;504;022033830119;2;1;0;0;0;0;0;0;0;0
2003 38 3;505;022033830402;2;0;1;0;0;0;0;0;0;0
2003 38 3;506;022033830120;2;1;0;0;0;0;0;0;0;0
2003 38 3;507;022033840232;2;1;0;0;0;0;0;0;0;0
2003 38 3;508;022033830272;2;0;0;0;0;0;0;0;0;0
2003 38 3;509;022033820002;2;1;0;0;0;0;0;0;0;0
2003 38 3;510;022033830048;2;1;0;0;0;0;0;0;0;1
2003 38 4;1;022033840162;3;1;0;0;0;0;0;0;0;0
2003 38 4;2;022033840386;4;1;1;0;0;0;0;0;0;0
2003 38 4;3;022033830379;4;1;0;0;0;0;0;0;0;0
2003 38 4;4;022033830171;4;1;0;0;0;0;0;0;0;0
2003 38 4;5;022033840039;4;1;1;0;0;0;0;0;0;0
2003 38 4;6;022033850200;4;0;0;0;0;0;0;0;0;0
2003 38 4;7;022033830025;5;1;0;0;0;0;0;0;0;1
2003 38 4;8;022033840313;5;1;0;0;0;0;0;0;0;0
2003 38 4;9;022033840314;5;1;0;0;0;0;0;0;0;0
2003 38 4;10;022033730260;5;1;0;0;0;0;0;0;0;0
2003 38 4;11;022033840242;5;0;0;0;0;0;0;0;0;0
2003 38 4;12;022033840224;5;1;0;0;0;0;0;0;0;0
2003 38 4;13;022033710525;5;1;0;0;0;0;0;0;0;0
2003 38 4;14;022033750418;5;1;0;0;0;0;0;0;0;0
2003 38 4;15;022033840006;4;0;1;0;0;0;0;0;0;0
2003 38 4;16;022033840333;6;1;0;0;0;0;0;0;0;0
2003 38 4;17;022033840282;6;1;0;0;0;0;0;0;0;0
2003 38 4;18;022033840268;6;1;0;0;0;0;0;0;0;0
2003 38 4;19;022033840277;6;1;0;0;0;0;0;0;0;0
2003 38 4;20;022033840257;6;1;0;0;0;0;0;0;0;0
2003 38 4;21;022033840375;7;0;0;0;1;0;0;0;0;0
2003 38 4;22;022033840357;7;0;0;0;1;0;0;0;0;0
2003 38 4;23;022033840393;8;1;0;0;0;0;0;0;0;0
2003 38 4;24;022033830189;8;1;0;0;0;0;0;0;0;0
2003 38 4;25;022033840103;8;1;0;0;0;0;1;1;0;1
2003 38 4;26;022033840207;8;1;0;0;0;0;0;0;0;0
2003 38 4;27;022033840126;8;0;1;0;0;0;0;0;0;0
2003 38 4;28;022033840179;8;1;0;0;0;0;0;0;0;0
2003 38 4;29;022033840210;8;1;0;0;0;0;0;0;0;0
2003 38 4;30;022033840093;3;1;0;0;0;0;0;0;0;1
2003 38 4;31;022033840161;3;1;0;0;0;0;0;0;0;0
2003 38 4;32;022033840163;3;1;0;0;0;0;0;0;0;0
2003 38 4;33;022033840387;3;0;0;0;1;0;0;0;0;0
2003 38 4;34;022033840164;3;1;0;0;0;0;0;0;0;0
2003 38 4;35;022033840091;3;1;0;0;0;0;0;0;0;1
2003 38 4;36;022033840173;3;1;0;0;0;0;0;0;0;0
2003 38 4;37;022033840169;3;1;0;0;0;0;0;0;0;0
2003 38 4;38;022033840094;3;1;0;0;0;0;0;0;0;1
2003 38 4;39;022033830313;9;0;0;0;0;0;0;0;0;0
2003 38 4;40;022033840338;9;1;0;0;0;0;0;0;0;0
2003 38 4;41;022033830236;9;0;0;0;0;0;0;0;0;0
2003 38 4;42;022033720558;9;1;0;0;0;0;0;0;0;0
2003 38 4;43;022033730264;9;1;0;0;0;0;0;0;0;0
2003 38 4;44;022033830244;9;0;0;0;0;0;0;0;0;0
2003 38 4;45;022033730219;9;1;0;0;0;0;0;0;0;0
2003 38 4;46;022033840040;4;1;1;0;0;0;0;0;0;0
2003 38 4;47;022033830022;1;1;0;0;0;1;0;0;0;1
2003 38 4;48;022033840251;1;1;0;0;0;0;0;0;0;0
2003 38 4;49;022033840104;1;1;0;0;0;0;0;0;0;0
2003 38 4;50;022033830393;1;0;0;0;0;0;0;0;0;0
2003 38 4;51;022033830021;1;1;0;0;0;1;0;0;0;1
2003 38 4;52;022033840384;10;1;0;0;0;0;0;0;0;0
2003 38 4;53;022033840406;10;0;1;0;0;0;0;0;0;0
2003 38 4;54;022033830049;10;1;0;0;0;0;0;0;0;1
2003 38 4;55;022033840247;10;1;0;0;0;0;0;0;0;0
2003 38 4;56;022033830201;10;1;0;0;0;0;0;0;0;0
2003 38 4;57;022033840335;10;1;1;0;0;0;0;0;0;0
2003 38 4;58;022033840136;10;1;0;0;0;0;0;0;0;0
2003 38 4;59;022033840369;10;0;0;0;0;0;0;0;0;0
2003 38 4;60;022033840087;10;1;0;0;0;0;0;0;0;1
2003 38 4;61;022033840225;10;1;0;0;0;0;0;0;0;0
2003 38 4;62;022033840142;10;1;0;0;0;0;0;0;0;0
2003 38 4;63;022033840089;10;1;0;0;0;0;0;0;0;1
2003 38 4;64;022033840358;7;0;0;0;1;0;0;0;0;0
2003 38 4;65;022033840374;7;1;0;0;0;0;0;0;0;0
2003 38 4;66;022033840352;7;0;0;0;1;0;0;0;0;0
2003 38 4;67;022033840332;11;1;1;0;0;0;0;0;0;0
2003 38 4;68;022033840143;10;1;0;0;0;0;0;0;0;0
2003 38 4;69;022033840158;10;1;0;0;0;0;0;0;0;0
2003 38 4;70;022033840086;10;1;0;0;0;0;0;0;0;1
2003 38 4;71;022033730326;10;1;0;0;0;0;0;0;0;0
