Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6
2003 38 3;497;022033830010;1;0;0;0;0;0;0;0;0;0
2003 38 3;498;022033830154;1;1;0;0;0;0;0;0;0;0
2003 38 3;499;022033830167;1;1;0;0;0;0;0;0;0;0
2003 38 3;500;022033830170;1;1;0;0;0;0;0;0;0;0
2003 38 3;501;022033830223;2;1;0;0;0;0;0;0;0;0
2003 38 3;502;022033830469;2;0;1;0;0;0;0;0;0;0
2003 38 3;503;022033830019;2;1;0;0;0;0;0;1;0;0
2003 38 3;504;022033830119;2;1;0;0;0;0;0;0;0;0
2003 38 3;505;022033830402;2;0;1;0;0;0;0;0;0;0
2003 38 3;506;022033830120;2;1;0;0;0;0;0;0;0;0
2003 38 3;507;022033840232;2;1;0;0;0;0;0;0;0;0
2003 38 3;508;022033830272;2;0;0;0;0;0;0;0;0;0
2003 38 3;509;022033820002;2;1;0;0;0;0;0;0;0;0
2003 38 3;510;022033830048;2;1;0;0;0;0;0;0;0;1
2003 38 4;1;022033830049;3;1;0;0;0;0;0;0;0;1
2003 38 4;2;022033840384;3;1;0;0;0;0;0;0;0;0
2003 38 4;3;022033840247;3;1;0;0;0;0;0;0;0;0
2003 38 4;4;022033840335;3;1;1;0;0;0;0;0;0;0
2003 38 4;5;022033840087;3;1;0;0;0;0;0;0;0;1
2003 38 4;6;022033840369;3;0;0;0;0;0;0;0;0;0
2003 38 4;7;022033830201;3;1;0;0;0;0;0;0;0;0
2003 38 4;8;022033840336;3;1;1;0;0;0;0;0;0;0
2003 38 4;9;022033830036;3;1;0;0;0;0;0;1;0;1
2003 38 4;10;022033840136;3;1;0;0;0;0;0;0;0;0
2003 38 4;11;022033840225;3;1;0;0;0;0;0;0;0;0
2003 38 4;12;022033840142;3;1;0;0;0;0;0;0;0;0
2003 38 4;13;022033840089;3;1;0;0;0;0;0;0;0;1
2003 38 4;14;022033840143;3;1;0;0;0;0;0;0;0;0
2003 38 4;15;022033840379;3;0;0;0;0;0;0;0;0;0
2003 38 4;16;022033830037;3;1;0;0;0;0;0;1;0;1
2003 38 4;17;022033840158;3;1;0;0;0;0;0;0;0;0
2003 38 4;18;022033840368;3;1;1;0;0;0;0;0;0;0
2003 38 4;19;022033830035;3;1;0;0;0;0;0;1;0;1
2003 38 4;20;022033730326;3;1;0;0;0;0;0;0;0;0
2003 38 4;21;022033840407;3;0;0;0;0;0;0;0;0;0
2003 38 4;22;022033840086;3;1;0;0;0;0;0;0;0;1
2003 38 4;23;022033830017;3;1;0;0;0;1;0;0;1;0
2003 38 4;24;022033810283;3;1;0;0;0;0;0;0;0;0
2003 38 4;25;022033840088;3;1;0;0;0;0;0;0;0;1
2003 38 4;26;022033840153;3;1;0;0;0;0;0;0;0;0
2003 38 4;27;022033840396;3;0;0;0;1;0;0;0;0;0
2003 38 4;28;022033840102;3;1;0;0;0;0;0;0;0;1
2003 38 4;29;022033840133;3;1;0;0;0;0;0;0;0;0
2003 38 4;30;022033840134;3;1;0;0;0;0;0;0;0;0
2003 38 4;31;022033840075;3;1;0;0;0;0;1;0;0;1
2003 38 4;32;022033840132;3;1;0;0;0;0;0;0;0;0
2003 38 4;33;022033840307;3;0;0;0;0;0;0;0;0;0
2003 38 4;34;022033840241;3;1;1;0;0;0;0;0;0;0
2003 38 4;35;022033840085;3;1;0;0;0;0;0;0;0;1
2003 38 4;36;022033840145;3;1;0;0;0;0;0;0;0;0
2003 38 4;37;022033840149;3;1;0;0;0;0;0;0;0;0
2003 38 4;38;022033840077;3;1;0;0;0;0;0;0;0;1
2003 38 4;39;022033840406;3;0;1;0;0;0;0;0;0;0
2003 38 4;40;022033810291;3;1;0;0;0;0;0;0;0;0
2003 38 4;41;022033840154;3;1;0;0;0;0;0;0;0;0
2003 38 4;42;022033840150;3;1;0;0;0;0;0;0;0;0
2003 38 4;43;022033840033;3;1;0;0;0;0;0;0;0;1
2003 38 4;44;022033840130;3;1;0;0;0;0;0;0;0;0
2003 38 4;45;022033820303;3;0;0;0;0;0;0;0;0;0
2003 38 4;46;022033840156;3;1;0;0;0;0;0;0;0;0
2003 38 4;47;022033840319;3;1;0;0;0;1;0;0;0;1
2003 38 4;48;022033840151;3;1;0;0;0;0;0;0;0;0
2003 38 4;49;022033840155;3;1;0;0;0;0;0;0;0;0
2003 38 4;50;022033840023;3;1;0;0;0;0;0;0;0;1
2003 38 4;51;022033830273;3;0;0;0;0;0;0;0;0;0
2003 38 4;52;022033840144;3;1;0;0;0;0;0;0;0;0
2003 38 4;53;022033830039;3;1;0;0;0;0;0;1;0;1
2003 38 4;54;022033840246;3;1;1;0;0;0;0;0;0;0
2003 38 4;55;022033630212;3;1;0;0;0;0;0;0;0;0
2003 38 4;56;022033840152;3;1;0;0;0;0;0;0;0;0
2003 38 4;57;022033840234;3;0;0;0;0;0;0;0;0;0
2003 38 4;58;022033840034;3;1;0;0;0;0;0;0;0;1
2003 38 4;59;022033840157;3;1;0;0;0;0;0;0;0;0
2003 38 4;60;022033840323;3;1;1;0;0;0;0;0;0;0
2003 38 4;61;022033810354;3;1;0;0;0;0;0;0;0;0
2003 38 4;62;022033840029;3;1;0;0;0;0;0;0;0;1
2003 38 4;63;022033840238;3;0;0;0;0;0;0;0;0;0
2003 38 4;64;022033840109;3;1;1;0;0;0;0;0;0;0
2003 38 4;65;022033840030;3;1;0;0;0;0;0;0;0;1
2003 38 4;66;022033840129;3;1;0;0;0;0;0;0;0;0
2003 38 4;67;022033840148;3;1;0;0;0;0;0;0;0;0
2003 38 4;68;022033840021;3;1;0;0;0;0;0;0;0;1
2003 38 4;69;022033840230;3;0;0;0;0;0;0;0;0;0
2003 38 4;70;022033840226;3;1;0;0;0;0;0;0;0;0
2003 38 4;71;022033550123;3;1;0;0;0;0;0;0;0;0
