Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8
2003 38 2;1247;024033750145;1;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 2;1248;024033531425;1;1;0;1;0;0;0;0;0;1;0;0;1;0
2003 38 2;1249;024033750012;2;0;0;0;1;0;0;0;0;0;0;1;0;0
2003 38 2;1250;024033740447;2;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 2;1251;024033810259;2;1;0;0;0;0;0;0;0;0;0;0;1;0
2003 38 2;1252;024033720177;2;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 2;1253;024033730241;2;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 2;1254;024033750229;3;1;0;0;0;0;1;0;0;0;0;0;0;0
2003 38 2;1255;024033740538;3;0;0;1;1;0;0;0;0;1;0;0;0;0
2003 38 2;1256;024033750438;3;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 2;1257;024033650501;3;1;0;1;0;0;0;1;0;1;0;1;0;1
2003 38 2;1258;024032011057;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 2;1259;024033740618;4;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 2;1260;024033710526;4;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;1;024033810148;5;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 3;2;024033720213;5;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;3;024033811210;6;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 3;4;024033740158;6;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 3;5;024033750651;7;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;6;024033810167;7;1;0;0;0;0;1;0;0;0;0;0;1;0
2003 38 3;7;024033710332;8;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;8;024033531401;8;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 3;9;024033750538;3;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 3;10;024033710330;3;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;11;024033730164;3;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 3;12;024033811364;9;0;0;0;0;1;0;1;0;0;0;0;0;0
2003 38 3;13;024033710145;9;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;14;024033810548;6;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 3;15;024033810728;6;1;0;0;0;0;0;0;0;0;1;0;0;0
2003 38 3;16;024033710281;6;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;17;024033810572;7;0;0;1;0;1;0;0;0;0;0;0;1;0
2003 38 3;18;024033811123;4;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 3;19;024033710345;3;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;20;024033811374;3;0;0;0;1;0;0;0;0;0;0;0;1;0
2003 38 3;21;024033720488;2;1;0;1;0;0;0;1;0;0;1;1;0;1
2003 38 3;22;024033710290;2;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;23;024033810656;2;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 3;24;024033750893;10;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;25;024033710301;10;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;26;024033811373;10;0;0;0;1;0;0;0;0;0;0;0;1;0
2003 38 3;27;024033710355;10;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 3;28;024033750649;7;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;29;024033740599;8;1;0;0;0;0;1;0;0;0;0;0;0;0
2003 38 3;30;024033710114;8;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;31;024033611083;8;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 3;32;024033530145;8;1;0;0;0;0;0;0;1;0;0;1;1;0
2003 38 3;33;024033750173;8;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 3;34;024033811307;8;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 3;35;024033720676;3;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 3;36;024033811377;3;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 3;37;024033710269;3;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;38;024033750457;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;39;024033810843;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 3;40;024033710163;3;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;41;024033750466;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;42;024033720041;6;0;0;0;1;0;1;1;1;0;0;1;0;1
2003 38 3;43;024033531413;6;1;0;1;0;0;0;0;0;1;0;0;1;0
2003 38 3;44;024033750108;6;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 3;45;024033811413;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 3;46;024033720347;5;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;47;024033750642;7;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;48;024033810056;4;1;0;0;0;0;0;0;0;0;0;0;1;0
2003 38 3;49;024033710511;4;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;50;024033811431;8;0;0;0;0;1;0;0;0;0;0;0;0;0
