Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8
2003 38 4;1247;024033740340;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1248;024033810969;2;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1249;024033830271;2;0;0;0;1;0;0;0;0;1;0;0;1;0
2003 38 4;1250;024033750156;3;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 4;1251;024033810876;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1252;024033830855;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 4;1253;024033740604;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1254;024033750159;3;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 4;1255;024033830267;4;0;0;0;1;0;0;0;0;1;0;0;1;0
2003 38 4;1256;024033740365;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1257;024033810485;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1258;024033830820;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 4;1259;024033740468;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1260;024033750177;3;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 5;1;024033830238;6;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;2;024033821134;3;0;0;0;1;0;0;0;0;0;0;1;0;0
2003 38 5;3;024033820812;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;4;024033830682;1;0;0;0;0;1;0;1;0;0;0;0;0;0
2003 38 5;5;024033740080;7;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;6;024033821044;7;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;7;024033810938;8;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;8;024033820181;8;0;0;0;0;1;0;1;0;0;0;0;0;0
2003 38 5;9;024033830906;7;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;10;024033750201;6;0;0;0;1;0;0;0;1;0;0;1;0;0
2003 38 5;11;024033750571;9;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;12;024033821224;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;13;024033830778;10;0;0;0;0;1;0;1;0;0;0;0;0;0
2003 38 5;14;024033811214;10;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 5;15;024033710219;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;16;024033820182;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 5;17;024033811260;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;18;024033830888;3;0;0;1;1;0;0;0;0;0;0;1;0;0
2003 38 5;19;024033811072;2;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;20;024033820613;2;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 5;21;024033840115;1;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;22;024033810867;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;23;024033821216;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;24;024033840780;6;0;0;1;1;0;0;0;0;0;0;1;0;0
2003 38 5;25;024033740442;6;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;26;024033811293;6;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;27;024033730158;6;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;28;024033741040;7;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;29;024033830952;7;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;30;024033820926;7;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;31;024033820883;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 5;32;024033730060;1;1;0;1;0;0;0;0;1;0;1;1;0;0
2003 38 5;33;024033820401;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;34;024033840820;1;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 5;35;024033540754;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;36;024033820179;11;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 5;37;024033830059;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;38;024033820976;5;1;0;0;0;0;0;1;0;0;1;0;0;0
2003 38 5;39;024033820539;3;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 5;40;024033830782;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;41;024033720206;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 5;42;024033830007;6;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;43;024033820177;6;1;0;1;0;0;0;1;0;0;0;1;0;1
2003 38 5;44;024033630887;6;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;45;024033840765;4;0;0;1;1;0;0;0;0;1;0;0;1;0
2003 38 5;46;024033820581;4;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;47;024033820816;11;1;0;0;0;0;0;0;0;0;1;0;0;0
2003 38 5;48;024033720052;11;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;49;024033820045;11;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;50;024033820165;11;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;51;024033840764;9;0;0;1;1;0;0;0;0;0;0;1;0;0
2003 38 5;52;024033740537;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;53;024033820271;5;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;54;024033830286;5;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;55;024033720210;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;56;024033820837;5;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;57;024033840825;9;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;58;024033740560;9;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;59;024033821197;11;0;0;0;0;1;0;1;0;0;0;0;0;0
2003 38 5;60;024033820555;11;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;61;024033821167;3;0;0;1;1;0;0;0;0;0;0;1;0;0
2003 38 5;62;024033830704;3;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;63;024033811371;2;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 5;64;024033740379;2;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;65;024033830741;1;0;0;0;0;1;0;1;0;0;0;0;0;0
2003 38 5;66;024033821188;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;67;024033740661;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;68;024033830714;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;69;024033820156;3;0;0;0;1;0;0;0;0;1;0;1;1;0
2003 38 5;70;024033821083;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;71;024033710280;1;1;0;1;0;0;0;1;0;0;0;0;0;0
2003 38 5;72;024033821139;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 5;73;024033821171;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;74;024033830707;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;75;024033820149;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 38 5;76;024033740593;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;77;024033830004;1;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;78;024033840789;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;79;024033821148;5;1;0;1;0;0;0;0;0;0;0;1;0;0
2003 38 5;80;024033740380;5;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;81;024033811352;6;1;0;0;0;0;0;0;0;0;1;0;0;0
2003 38 5;82;024033821166;6;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;83;024033740310;7;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;84;024033830882;10;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;85;024033740090;10;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;86;024033820173;10;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;87;024033810988;10;1;0;0;0;0;0;1;0;0;1;0;0;0
2003 38 5;88;024033821182;3;0;0;1;1;0;0;0;0;1;0;1;1;0
2003 38 5;89;024033811207;1;1;0;0;0;0;1;0;0;0;0;0;0;0
2003 38 5;90;024033740387;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;91;024033830715;1;0;0;0;0;1;0;0;0;0;0;0;0;0
