Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12;LPRC13;LPRC14;LPRC15;LPRC16;LPRC17;LPRC18
2003 37 5;777;025033810271;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;778;025033820299;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;779;025033820437;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;780;025034140203;3;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;781;025033750354;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;782;025033830150;4;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;783;025033830785;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;784;025033740997;3;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1
2003 37 5;785;025033830464;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;786;025033810590;5;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;787;025033830779;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;788;025033740348;6;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;789;025033821012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2003 37 5;790;025033740822;7;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;791;025033731131;7;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;792;025033820080;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2003 37 5;793;025033830440;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;794;025033750138;4;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;795;025033830760;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;796;025033810490;3;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
2003 37 5;797;025033820305;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;798;025033810684;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
2003 37 5;799;025033520098;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;800;025033920465;8;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1
2003 37 5;801;025033830749;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;802;025033520104;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;803;025033830117;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0
2003 37 5;804;025033750266;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;805;025033750302;3;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1
2003 37 5;806;025033830688;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;807;025033750158;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;808;025033740864;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;809;025033830535;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
