Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5
2003 38 3;876;039033730199;1;0;0;0;1;1
2003 38 3;877;039033820382;2;0;0;0;0;0
2003 38 3;878;039033820906;2;1;0;0;0;0
2003 38 3;879;039033820890;2;0;0;0;0;0
2003 38 3;880;039033820845;2;0;0;0;0;0
2003 38 3;881;039033730291;2;0;0;1;0;0
2003 38 3;882;039033831023;2;0;0;0;0;0
2003 38 3;883;039033730460;3;0;0;0;0;0
2003 38 3;884;039033820884;3;0;0;0;0;0
2003 38 3;885;039033840055;3;1;0;0;0;1
2003 38 3;886;039033810274;3;0;0;0;1;0
2003 38 3;887;039033820853;3;0;0;0;0;0
2003 38 3;888;039033830775;3;0;0;0;0;0
2003 38 3;889;039033831528;4;0;0;0;0;0
2003 38 3;890;039033831474;4;0;0;0;0;0
2003 38 3;891;039033750144;5;0;0;0;0;1
2003 38 3;892;039033831087;5;0;0;0;0;0
2003 38 3;893;039033831338;5;0;0;0;0;0
2003 38 3;894;039033831444;6;0;0;0;0;0
2003 38 3;895;039033910891;7;0;0;0;0;0
2003 38 3;896;039033831397;6;0;0;0;0;0
2003 38 3;897;039033640328;6;0;0;0;1;1
2003 38 3;898;039033820045;6;1;0;0;0;0
2003 38 3;899;039033830856;6;0;0;0;0;0
2003 38 3;900;039033720197;6;0;1;1;0;0
2003 38 3;901;039033831417;6;0;0;0;0;0
2003 38 3;902;039033831409;6;0;0;0;0;0
2003 38 4;1;039033831659;7;1;0;0;0;0
2003 38 4;2;039033740139;7;0;0;1;0;0
2003 38 4;3;039033740129;7;0;0;0;0;0
2003 38 4;4;039033840865;7;1;0;0;0;1
2003 38 4;5;039033831189;4;0;0;0;0;0
2003 38 4;6;039033831381;4;0;0;0;0;0
2003 38 4;7;039033831665;8;0;0;0;0;0
2003 38 4;8;039033730480;9;1;0;0;0;1
2003 38 4;9;039033831658;9;0;0;0;0;0
2003 38 4;10;039033841399;9;0;0;0;0;0
2003 38 4;11;039033740221;9;1;0;0;0;0
2003 38 4;12;039033740176;9;0;0;0;0;0
2003 38 4;13;039033630066;9;0;0;0;1;1
2003 38 4;14;039033740854;9;1;0;0;0;0
2003 38 4;15;039033740261;9;0;0;0;0;0
2003 38 4;16;039033740143;9;0;0;0;0;0
2003 38 4;17;039033830434;10;1;1;0;0;1
2003 38 4;18;039033940041;5;0;0;0;0;0
2003 38 4;19;039033740938;5;0;0;0;0;0
2003 38 4;20;039033831191;5;0;0;0;0;0
2003 38 4;21;039033830999;5;1;0;0;0;1
2003 38 4;22;039033741565;5;0;0;0;0;0
2003 38 4;23;039033741285;5;0;0;0;0;0
2003 38 4;24;039033741245;5;0;0;0;0;0
2003 38 4;25;039033840936;11;1;0;0;0;1
2003 38 4;26;039033831126;6;0;0;0;0;0
2003 38 4;27;039033742065;6;0;0;0;0;0
2003 38 4;28;039033740853;6;1;0;0;0;0
2003 38 4;29;039033831137;6;0;0;0;0;0
2003 38 4;30;039033741608;6;0;0;1;0;1
2003 38 4;31;039033640098;9;0;0;0;1;0
2003 38 4;32;039033741246;9;1;0;0;0;0
2003 38 4;33;039033751287;9;0;0;0;0;0
2003 38 4;34;039033650396;9;0;0;0;0;0
2003 38 4;35;039033730481;9;1;0;0;0;1
2003 38 4;36;039033740128;7;0;0;0;0;0
2003 38 4;37;039033742100;7;0;0;0;0;0
2003 38 4;38;039033740419;7;1;0;0;0;0
2003 38 4;39;039033810100;7;0;0;0;0;1
2003 38 4;40;039033831654;12;0;0;0;0;0
2003 38 4;41;039033741260;6;1;0;0;0;0
2003 38 4;42;039033730703;6;0;0;0;0;0
2003 38 4;43;039033831127;7;0;0;0;0;0
