Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12
2003 38 6;225;048033910168;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
2003 38 6;226;048033730653;2;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
2003 38 6;227;048033810476;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
2003 38 6;228;048033850062;2;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0
2003 38 6;229;048033850458;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2003 38 6;230;048033820092;3;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
2003 38 6;231;048033850218;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 38 6;232;048033850064;3;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0
2003 38 6;233;048033810372;3;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
2003 38 6;234;048033910181;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 38 6;235;048033860101;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 6;236;048033810468;3;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 6;237;048033850377;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 6;238;048033810296;4;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
2003 38 6;239;048033850468;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 6;240;048033860133;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 6;241;048033850407;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 38 6;242;048033840029;6;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0
2003 39 1;1;048033911021;4;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;2;048033740695;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;3;048033860152;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;4;048033830070;7;0;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0
2003 39 1;5;048033910304;7;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
2003 39 1;6;048033860107;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2003 39 1;7;048033910102;3;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;8;048033810379;9;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;9;048033910216;9;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;10;048033730674;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;11;048033910235;9;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;12;048033810503;9;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;13;048033910101;7;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0
2003 39 1;14;048033910904;7;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
2003 39 1;15;048033860014;10;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;16;048033830106;10;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;17;048033860160;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;18;048033910151;10;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;19;048033860155;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;20;048033830058;10;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;21;048033911014;10;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;22;048033910150;6;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
2003 39 1;23;048033910001;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;24;048033911053;6;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 39 1;25;048033840003;1;0;1;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0
2003 39 1;26;048033810215;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;27;048033730575;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;28;048033910103;3;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;29;048033820370;9;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;30;048033910615;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;31;048033911069;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;32;048033910588;11;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
