Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;LPRC1;LPRC2
2003 38 1;847;064033840826;1;0;1;0;0;1;0;0;0;0
2003 38 1;848;064033820823;1;0;0;0;0;0;0;1;0;1
2003 38 1;849;064033820705;1;0;0;0;0;0;0;1;0;1
2003 38 1;850;064033910677;1;0;0;0;0;0;0;1;0;0
2003 38 1;851;064033830611;1;0;0;0;0;1;0;0;0;1
2003 38 1;852;064033820704;1;0;0;0;0;0;0;1;0;1
2003 38 1;853;064033741142;1;1;0;1;0;0;0;1;0;0
2003 38 1;854;064033820706;1;0;0;0;0;0;0;1;0;1
2003 38 1;855;064033750695;2;0;1;0;0;1;0;0;1;0
2003 38 1;856;064033811217;2;0;0;0;0;0;0;1;0;1
2003 38 1;857;064033850282;2;0;0;0;0;1;0;0;0;1
2003 38 1;858;064033741165;2;0;0;0;0;0;0;1;0;0
2003 38 1;859;064033810775;3;0;0;0;0;0;0;1;0;1
2003 38 1;860;064033740775;3;0;0;0;0;0;0;1;0;0
2003 38 1;861;064033820778;3;0;0;0;0;0;0;1;0;1
2003 38 1;862;064033810607;4;0;0;0;0;1;0;0;0;0
2003 38 1;863;064033840788;5;0;1;0;0;1;0;0;0;1
2003 38 1;864;064033810681;5;0;0;0;0;0;0;1;0;0
2003 38 1;865;064033850050;5;0;0;0;0;1;0;0;0;1
2003 38 1;866;064033741007;5;1;0;1;0;0;0;1;0;0
2003 38 1;867;064033810637;5;0;1;0;0;1;0;0;1;0
2003 38 1;868;064033820002;5;0;0;0;0;0;0;1;0;1
2003 38 1;869;064033730187;5;0;0;0;0;1;0;0;0;0
2003 38 1;870;064033840784;5;0;1;0;0;1;0;0;0;1
2003 38 1;871;064033810682;5;0;0;0;0;0;0;1;0;0
2003 38 1;872;064033840787;5;0;1;0;0;1;0;0;0;1
2003 38 1;873;064033830610;5;0;0;1;0;1;0;0;0;1
2003 38 1;874;064033730850;5;0;0;0;0;0;0;1;0;0
2003 38 1;875;064033810644;5;0;1;0;0;1;0;0;1;0
2003 38 2;1;064033840771;5;0;1;0;0;1;0;0;0;1
2003 38 2;2;064033750048;5;0;0;0;0;1;0;0;0;0
2003 38 2;3;064033820923;5;0;0;0;0;0;0;1;0;1
2003 38 2;4;064033820874;5;0;0;0;0;0;0;1;0;1
2003 38 2;5;064033810649;5;0;1;0;0;1;0;0;1;0
2003 38 2;6;064033820888;1;0;0;0;0;0;0;1;0;1
2003 38 2;7;064033820985;1;0;0;0;0;0;0;1;0;1
2003 38 2;8;064033806803;6;1;0;1;0;1;0;0;0;0
2003 38 2;9;064033840889;7;0;0;0;0;1;0;0;0;1
2003 38 2;10;064033810753;8;0;1;0;0;0;0;1;0;1
2003 38 2;11;064033820866;8;0;0;0;0;0;0;1;0;1
2003 38 2;12;064033830788;8;0;0;0;0;0;0;1;0;1
2003 38 2;13;064033830802;8;0;0;0;0;0;0;1;0;1
2003 38 2;14;064033840874;7;0;0;0;0;1;0;0;0;1
2003 38 2;15;064033840863;7;0;0;0;0;1;0;0;0;1
2003 38 2;16;064033740795;1;0;0;0;0;0;0;1;0;0
2003 38 2;17;064033830785;1;0;0;0;0;0;0;1;0;1
2003 38 2;18;064033820951;1;0;0;0;0;0;0;1;0;1
2003 38 2;19;064033740752;1;0;0;0;0;0;0;1;0;0
2003 38 2;20;064033840892;7;0;0;0;0;1;0;0;0;1
2003 38 2;21;064033840861;7;0;0;0;0;1;0;0;0;1
2003 38 2;22;064033811026;7;0;1;0;0;0;0;1;0;1
2003 38 2;23;064033840862;7;0;0;0;0;1;0;0;0;1
2003 38 2;24;064033840886;7;0;0;0;0;1;0;0;0;1
2003 38 2;25;064033820857;7;0;0;0;0;0;0;1;0;1
2003 38 2;26;064033840884;7;0;0;0;0;1;0;0;0;1
2003 38 2;27;064033840878;7;0;0;0;0;1;0;0;0;1
2003 38 2;28;064033907064;9;0;1;0;0;0;0;1;0;0
2003 38 2;29;064033840868;7;0;0;0;0;1;0;0;0;1
2003 38 2;30;064033840902;7;0;0;0;0;1;0;0;0;1
2003 38 2;31;064033820976;10;0;0;0;0;0;0;1;0;1
2003 38 2;32;064033741173;9;0;1;0;1;0;0;1;0;0
2003 38 2;33;064033840872;7;0;0;0;0;1;0;0;0;1
2003 38 2;34;064033840869;7;0;0;0;0;1;0;0;0;1
2003 38 2;35;064033820924;11;0;0;0;0;0;0;1;0;0
2003 38 2;36;064033810935;11;0;1;0;0;0;0;1;0;1
2003 38 2;37;064033741161;11;0;0;0;0;0;0;1;0;0
2003 38 2;38;064033850819;2;0;1;0;0;1;0;0;0;1
2003 38 2;39;064033820880;2;1;0;0;0;0;0;1;0;1
2003 38 2;40;064033811017;2;0;1;0;0;1;0;0;1;0
2003 38 2;41;064033750928;2;0;0;0;0;0;0;1;0;0
2003 38 2;42;064033840852;7;0;0;0;0;1;0;0;0;1
2003 38 2;43;064033840854;7;0;0;0;0;1;0;0;0;1
2003 38 2;44;064033830784;8;0;0;0;0;0;0;1;0;1
2003 38 2;45;064033820859;8;0;0;0;0;0;0;1;0;1
2003 38 2;46;064033750071;10;0;1;0;0;1;0;0;0;0
2003 38 2;47;064033830360;10;0;0;1;0;0;0;1;0;1
2003 38 2;48;064033810864;10;0;1;0;0;1;0;0;0;0
2003 38 2;49;064033840912;10;0;0;0;0;0;0;1;0;1
2003 38 2;50;064033750711;10;0;0;0;0;1;0;0;0;0
2003 38 2;51;064033830797;8;0;0;0;0;0;0;1;0;1
2003 38 2;52;064033820869;8;0;0;0;0;0;0;1;0;1
2003 38 2;53;064033820912;8;0;0;0;0;0;0;1;0;1
2003 38 2;54;064033820870;8;0;0;0;0;0;0;1;0;1
2003 38 2;55;064033810918;12;0;1;0;0;1;0;0;1;0
2003 38 2;56;064033820966;12;0;0;0;0;0;0;1;0;1
2003 38 2;57;064033810814;12;0;1;0;0;1;0;0;0;0
2003 38 2;58;064033830808;12;0;0;0;0;0;0;1;0;1
2003 38 2;59;064033907065;12;0;1;0;0;1;0;0;0;1
2003 38 2;60;064033740783;12;0;0;0;0;0;0;1;0;0
2003 38 2;61;064033830807;12;0;0;0;0;0;0;1;0;1
2003 38 2;62;064033810542;9;0;0;1;0;1;0;0;0;0
2003 38 2;63;064034130048;9;0;0;0;0;0;0;1;0;0
2003 38 2;64;064033420018;9;0;0;0;0;1;1;0;0;0
2003 38 2;65;064033840779;5;0;1;0;0;1;0;0;0;1
2003 38 2;66;064033820878;5;0;0;0;0;0;0;1;0;1
2003 38 2;67;064033810648;5;0;1;0;0;1;0;0;1;0
2003 38 2;68;064033821007;5;0;0;0;0;0;0;1;0;1
2003 38 2;69;064033840792;5;0;1;0;0;1;0;0;0;1
2003 38 2;70;064033740858;5;0;0;0;0;0;0;1;0;0
2003 38 2;71;064033840769;5;0;1;0;0;1;0;0;0;1
2003 38 2;72;064033740824;5;0;0;0;0;0;0;1;0;0
2003 38 2;73;064033810810;5;1;0;1;0;1;0;0;0;0
2003 38 2;74;064033907070;5;0;1;0;0;1;0;0;0;0
2003 38 2;75;064033820879;8;0;0;0;0;0;0;1;0;1
2003 38 2;76;064033830786;8;0;0;0;0;0;0;1;0;1
2003 38 2;77;064033820891;8;0;0;0;0;0;0;1;0;1
2003 38 2;78;064033830777;8;0;0;0;0;0;0;1;0;1
2003 38 2;79;064033810647;5;0;1;0;0;1;0;0;1;0
2003 38 2;80;064033750052;5;0;0;0;0;1;0;0;0;0
2003 38 2;81;064033741125;5;1;1;0;0;0;0;1;0;0
2003 38 2;82;064033820946;5;0;0;1;0;0;0;1;0;1
2003 38 2;83;064033750708;5;0;1;0;0;1;0;0;0;0
