Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;LPRC1;LPRC2
2003 38 1;847;064033840826;1;0;1;0;0;1;0;0;0;0
2003 38 1;848;064033820823;1;0;0;0;0;0;0;1;0;1
2003 38 1;849;064033820705;1;0;0;0;0;0;0;1;0;1
2003 38 1;850;064033910677;1;0;0;0;0;0;0;1;0;0
2003 38 1;851;064033830611;1;0;0;0;0;1;0;0;0;1
2003 38 1;852;064033820704;1;0;0;0;0;0;0;1;0;1
2003 38 1;853;064033741142;1;1;0;1;0;0;0;1;0;0
2003 38 1;854;064033820706;1;0;0;0;0;0;0;1;0;1
2003 38 1;855;064033750695;2;0;1;0;0;1;0;0;1;0
2003 38 1;856;064033811217;2;0;0;0;0;0;0;1;0;1
2003 38 1;857;064033850282;2;0;0;0;0;1;0;0;0;1
2003 38 1;858;064033741165;2;0;0;0;0;0;0;1;0;0
2003 38 1;859;064033810775;3;0;0;0;0;0;0;1;0;1
2003 38 1;860;064033740775;3;0;0;0;0;0;0;1;0;0
2003 38 1;861;064033820778;3;0;0;0;0;0;0;1;0;1
2003 38 1;862;064033810607;4;0;0;0;0;1;0;0;0;0
2003 38 1;863;064033840788;5;0;1;0;0;1;0;0;0;1
2003 38 1;864;064033810681;5;0;0;0;0;0;0;1;0;0
2003 38 1;865;064033850050;5;0;0;0;0;1;0;0;0;1
2003 38 1;866;064033741007;5;1;0;1;0;0;0;1;0;0
2003 38 1;867;064033810637;5;0;1;0;0;1;0;0;1;0
2003 38 1;868;064033820002;5;0;0;0;0;0;0;1;0;1
2003 38 1;869;064033730187;5;0;0;0;0;1;0;0;0;0
2003 38 1;870;064033840784;5;0;1;0;0;1;0;0;0;1
2003 38 1;871;064033810682;5;0;0;0;0;0;0;1;0;0
2003 38 1;872;064033840787;5;0;1;0;0;1;0;0;0;1
2003 38 1;873;064033830610;5;0;0;1;0;1;0;0;0;1
2003 38 1;874;064033730850;5;0;0;0;0;0;0;1;0;0
2003 38 1;875;064033810644;5;0;1;0;0;1;0;0;1;0
2003 38 2;1;064033820888;1;0;0;0;0;0;0;1;0;1
2003 38 2;2;064033820985;1;0;0;0;0;0;0;1;0;1
2003 38 2;3;064033750104;1;0;0;0;0;1;0;0;0;0
2003 38 2;4;064033830785;1;0;0;0;0;0;0;1;0;1
2003 38 2;5;064033820951;1;0;0;0;0;0;0;1;0;1
2003 38 2;6;064033820886;1;1;0;0;0;0;0;1;0;1
2003 38 2;7;064033820940;1;0;0;0;0;0;0;1;0;1
2003 38 2;8;064033740506;1;0;1;0;0;0;0;1;0;1
2003 38 2;9;064033740795;1;0;0;0;0;0;0;1;0;0
2003 38 2;10;064033820889;1;0;0;0;0;0;0;1;0;1
2003 38 2;11;064033830804;1;0;0;0;0;1;0;0;0;1
2003 38 2;12;064033740752;1;0;0;0;0;0;0;1;0;0
2003 38 2;13;064033820868;1;0;0;0;0;0;0;1;0;1
2003 38 2;14;064033820893;1;0;0;0;0;0;0;1;0;1
2003 38 2;15;064033830775;1;0;0;0;0;0;0;1;0;1
2003 38 2;16;064033810649;5;0;1;0;0;1;0;0;1;0
2003 38 2;17;064033810810;5;1;0;1;0;1;0;0;0;0
2003 38 2;18;064033820923;5;0;0;0;0;0;0;1;0;1
2003 38 2;19;064033840771;5;0;1;0;0;1;0;0;0;1
2003 38 2;20;064033750048;5;0;0;0;0;1;0;0;0;0
2003 38 2;21;064033820874;5;0;0;0;0;0;0;1;0;1
2003 38 2;22;064033750052;5;0;0;0;0;1;0;0;0;0
2003 38 2;23;064033840779;5;0;1;0;0;1;0;0;0;1
2003 38 2;24;064033740858;5;0;0;0;0;0;0;1;0;0
2003 38 2;25;064033750102;5;0;0;0;0;1;0;0;0;0
2003 38 2;26;064033907070;5;0;1;0;0;1;0;0;0;0
2003 38 2;27;064033751013;5;0;0;1;0;0;0;1;0;0
2003 38 2;28;064033810648;5;0;1;0;0;1;0;0;1;0
2003 38 2;29;064033810849;5;0;0;0;0;1;0;0;0;0
2003 38 2;30;064033740824;5;0;0;0;0;0;0;1;0;0
2003 38 2;31;064033840889;6;0;0;0;0;1;0;0;0;1
2003 38 2;32;064033840874;6;0;0;0;0;1;0;0;0;1
2003 38 2;33;064033820857;6;0;0;0;0;0;0;1;0;1
2003 38 2;34;064033840863;6;0;0;0;0;1;0;0;0;1
2003 38 2;35;064033840892;6;0;0;0;0;1;0;0;0;1
2003 38 2;36;064033820862;6;0;0;0;0;0;0;1;0;1
2003 38 2;37;064033840861;6;0;0;0;0;1;0;0;0;1
2003 38 2;38;064033840862;6;0;0;0;0;1;0;0;0;1
2003 38 2;39;064033840886;6;0;0;0;0;1;0;0;0;1
2003 38 2;40;064033840884;6;0;0;0;0;1;0;0;0;1
2003 38 2;41;064033811026;6;0;1;0;0;0;0;1;0;1
2003 38 2;42;064033840878;6;0;0;0;0;1;0;0;0;1
2003 38 2;43;064033840868;6;0;0;0;0;1;0;0;0;1
2003 38 2;44;064033840902;6;0;0;0;0;1;0;0;0;1
2003 38 2;45;064033840872;6;0;0;0;0;1;0;0;0;1
2003 38 2;46;064033740870;1;1;1;0;0;0;0;1;0;0
2003 38 2;47;064033820941;1;0;0;0;0;0;0;1;0;1
2003 38 2;48;064033821000;1;0;0;0;0;0;0;1;0;1
2003 38 2;49;064033740751;1;0;0;0;0;0;0;1;0;0
2003 38 2;50;064033830780;1;0;0;0;0;1;0;0;0;1
2003 38 2;51;064033820935;1;0;0;0;0;0;0;1;0;1
2003 38 2;52;064033750875;1;0;0;0;0;0;0;1;0;0
2003 38 2;53;064033830790;1;0;0;0;0;0;0;1;0;1
2003 38 2;54;064033750675;1;0;1;0;0;0;0;1;0;1
2003 38 2;55;064033810851;1;1;0;0;0;1;0;0;0;0
2003 38 2;56;064033820943;1;0;0;0;0;0;0;1;0;1
2003 38 2;57;064033820987;1;0;0;0;0;0;0;1;0;1
2003 38 2;58;064033750933;1;0;0;0;0;0;0;1;0;0
2003 38 2;59;064033830798;1;0;0;0;0;0;0;1;0;1
2003 38 2;60;064033820993;1;0;0;0;0;0;0;1;0;1
2003 38 2;61;064033810836;5;0;0;0;0;1;0;0;0;0
2003 38 2;62;064033810647;5;0;1;0;0;1;0;0;1;0
2003 38 2;63;064033820946;5;0;0;1;0;0;0;1;0;1
2003 38 2;64;064033820878;5;0;0;0;0;0;0;1;0;1
2003 38 2;65;064033810831;5;1;0;0;0;1;0;0;0;0
2003 38 2;66;064033821007;5;0;0;0;0;0;0;1;0;1
2003 38 2;67;064033840792;5;0;1;0;0;1;0;0;0;1
2003 38 2;68;064033810785;5;0;0;0;0;1;0;0;0;0
2003 38 2;69;064033820972;5;0;0;0;0;0;0;1;0;1
2003 38 2;70;064033840769;5;0;1;0;0;1;0;0;0;1
2003 38 2;71;064033810921;5;0;0;0;0;1;0;0;0;0
2003 38 2;72;064033830789;5;0;0;0;0;0;0;1;0;1
2003 38 2;73;064033810805;5;0;0;0;0;1;0;0;0;0
2003 38 2;74;064033811019;5;0;1;0;0;1;0;0;1;0
2003 38 2;75;064033750796;5;1;0;0;0;0;0;1;0;0
2003 38 2;76;064033840869;6;0;0;0;0;1;0;0;0;1
2003 38 2;77;064033840852;6;0;0;0;0;1;0;0;0;1
2003 38 2;78;064033840854;6;0;0;0;0;1;0;0;0;1
2003 38 2;79;064033820907;6;0;0;0;0;0;0;1;0;1
2003 38 2;80;064033840883;6;0;0;0;0;1;0;0;0;1
2003 38 2;81;064033840877;6;0;0;0;0;1;0;0;0;1
2003 38 2;82;064033820856;6;0;0;0;0;0;0;1;0;1
2003 38 2;83;064033840888;6;0;0;0;0;1;0;0;0;1
