Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;LPRC2
2003 38 1;304;064033820126;1;0;0;0;0;0;0
2003 38 1;305;064033820117;1;0;0;0;0;0;0
2003 38 1;306;064033810074;1;0;0;1;0;0;0
2003 38 1;307;064033820235;1;0;0;0;0;0;0
2003 38 1;308;064033820239;1;0;0;0;0;0;0
2003 38 1;309;064033820137;1;0;0;0;0;0;0
2003 38 1;310;064033820264;1;0;0;0;0;0;0
2003 38 1;311;064033810216;2;0;0;1;0;0;1
2003 38 1;312;064033810401;2;0;0;0;0;0;0
2003 38 1;313;064033810096;2;0;0;0;0;0;0
2003 38 1;314;064033810210;2;0;0;1;0;1;0
2003 38 1;315;064033810178;2;0;0;0;0;0;0
2003 38 1;316;064033810188;2;0;0;0;0;0;0
2003 38 1;317;064033810228;2;0;0;1;0;0;1
2003 38 1;318;064033820215;2;0;0;0;0;0;0
2003 38 1;319;064033910233;2;0;0;0;0;0;0
2003 38 1;320;064033810391;2;0;0;0;0;1;0
2003 38 1;321;064033820092;2;0;0;1;0;0;0
2003 38 1;322;064033820170;2;0;0;0;0;0;0
2003 38 1;323;064033820308;2;0;0;0;0;0;0
2003 38 1;324;064033820086;2;0;0;0;0;0;0
2003 38 1;325;064033810219;2;0;0;1;0;0;1
2003 38 1;326;064033810414;3;0;0;0;0;0;0
2003 38 1;327;064033810059;3;0;0;0;0;0;0
2003 38 1;328;064033820202;3;0;0;0;0;0;0
2003 38 1;329;064033820166;3;0;0;0;0;0;0
2003 38 1;330;064033820077;3;0;0;0;0;0;0
2003 38 1;331;064033820120;3;0;0;0;0;0;0
2003 38 1;332;064033811377;3;0;0;1;0;0;0
2003 38 1;333;064033820198;3;0;0;0;0;0;0
2003 38 1;334;064033820090;3;0;0;0;0;0;0
2003 38 1;335;064033820052;3;0;0;0;0;0;0
2003 38 1;336;064033820386;3;0;0;0;0;0;0
2003 38 1;337;064033810387;3;0;0;1;0;0;0
2003 38 1;338;064033810368;4;0;0;0;0;0;0
2003 38 1;339;064033810404;4;0;0;0;0;0;0
2003 38 1;340;064033810058;4;0;0;0;0;0;0
2003 38 1;341;064033810313;4;0;0;0;0;0;0
2003 38 1;342;064033810066;4;0;0;0;0;0;0
2003 38 1;343;064033810321;3;0;0;1;0;0;1
2003 38 1;344;064033820123;3;0;0;0;0;0;0
2003 38 1;345;064033810076;3;0;0;0;0;1;0
2003 38 1;346;064033820119;3;0;0;0;0;0;0
2003 38 1;347;064033820263;3;0;0;1;0;0;0
2003 38 1;348;064033820433;3;0;0;0;0;0;0
2003 38 1;349;064033810236;4;0;0;0;0;0;0
2003 38 1;350;064033810037;4;0;0;0;0;0;0
2003 38 1;351;064033810248;4;0;0;0;0;0;0
2003 38 1;352;064033810117;4;0;0;0;0;0;0
2003 38 1;353;064033810275;4;0;0;0;0;1;0
2003 38 1;354;064033810264;4;0;0;0;0;0;0
2003 38 1;355;064033810085;4;0;0;0;0;0;0
2003 38 1;356;064033810361;4;0;0;0;0;0;0
2003 38 1;357;064033810094;4;0;0;1;0;0;0
2003 38 1;358;064033820168;4;0;0;0;0;0;0
2003 38 1;359;064033820195;4;0;0;0;0;0;0
2003 38 1;360;064033820038;4;0;0;0;0;0;0
2003 38 1;361;064033810329;4;0;0;0;0;1;0
2003 38 1;362;064033910308;4;0;0;0;0;0;0
2003 38 1;363;064033820382;4;0;0;0;0;0;0
2003 38 1;364;064033820220;5;0;0;0;0;0;0
2003 38 1;365;064033820203;5;0;0;0;0;0;0
2003 38 1;366;064033810360;5;0;0;0;0;1;0
2003 38 1;367;064033820075;6;0;0;0;0;0;0
2003 38 1;368;064033820151;6;0;0;0;1;0;0
2003 38 1;369;064033820354;6;0;0;0;0;0;0
2003 38 1;370;064033820417;6;0;0;0;0;0;0
2003 38 1;371;064033910086;6;0;0;0;0;0;0
2003 38 1;372;064033810371;2;0;0;1;0;1;1
2003 38 1;373;064033820231;4;0;0;0;0;0;0
2003 38 1;374;064033820420;4;0;0;0;0;0;0
2003 38 1;375;064033820302;4;0;0;0;0;0;0
2003 38 1;376;064033820383;4;0;0;0;0;0;0
2003 38 1;377;064033820074;4;0;0;0;0;0;0
2003 38 1;378;064033820350;4;0;0;0;0;0;0
2003 38 1;379;064033820057;4;0;0;0;0;0;0
2003 38 1;380;064033820384;4;0;0;0;0;0;0
2003 38 1;381;064033810195;4;0;0;0;0;1;0
2003 38 1;382;064033820248;4;0;0;0;0;0;0
2003 38 1;383;064033950554;4;0;0;1;0;0;0
2003 38 1;384;064033820346;4;0;0;0;0;0;0
2003 38 1;385;064033820169;4;0;0;0;0;0;0
2003 38 1;386;064033820073;4;0;0;0;0;0;0
2003 38 1;387;064033811390;7;0;0;1;0;0;0
2003 38 1;388;064033910058;7;0;0;0;0;0;0
2003 38 1;389;064033820240;7;0;0;0;0;0;0
2003 38 1;390;064033820108;7;0;0;0;0;0;0
2003 38 1;391;064033820145;7;0;0;0;0;0;0
2003 38 1;392;064033820358;7;0;0;0;0;0;0
2003 38 1;393;064033820110;7;0;0;0;0;0;0
2003 38 1;394;064033820178;7;0;0;0;0;0;0
2003 38 1;395;064033820285;7;0;0;0;0;0;0
2003 38 1;396;064033820016;7;0;0;1;0;0;0
2003 38 1;397;064033810022;8;0;1;0;0;0;0
2003 38 1;398;064033810072;3;0;0;0;0;1;0
2003 38 1;399;064033820347;3;0;0;0;0;0;0
2003 38 1;400;064033820216;3;0;0;0;0;0;0
2003 38 1;401;064033930417;3;0;0;1;0;0;1
2003 38 1;402;064033950510;3;0;0;0;0;0;0
2003 38 2;1;064033820102;4;0;0;0;0;0;0
2003 38 2;2;064033820199;4;0;0;0;0;0;0
2003 38 2;3;064033820056;4;0;0;0;0;0;0
2003 38 2;4;064033820130;4;0;0;0;0;0;0
2003 38 2;5;064033820020;4;0;0;0;0;0;0
2003 38 2;6;064033820062;4;0;0;0;0;0;0
2003 38 2;7;064033820183;4;0;0;0;0;0;0
2003 38 2;8;064033820380;4;0;0;0;0;1;0
2003 38 2;9;064033820303;4;0;0;0;0;0;0
2003 38 2;10;064033820069;4;0;0;0;0;0;0
2003 38 2;11;064033820155;4;0;0;0;0;0;0
2003 38 2;12;064033820043;4;0;0;0;0;0;0
2003 38 2;13;064033810286;4;0;0;1;0;0;0
2003 38 2;14;064033820118;4;0;0;0;0;0;0
2003 38 2;15;064033820360;4;0;0;0;0;0;0
2003 38 2;16;064033820271;3;0;0;1;0;1;1
2003 38 2;17;064033820388;3;0;0;0;0;0;0
2003 38 2;18;064033820306;3;0;0;0;0;0;0
2003 38 2;19;064033820129;3;0;0;0;0;0;0
2003 38 2;20;064033820144;3;0;0;0;0;0;0
2003 38 2;21;064033820060;3;0;0;0;0;0;0
2003 38 2;22;064033820044;3;0;0;1;0;0;0
2003 38 2;23;064033820368;3;0;0;0;0;0;0
2003 38 2;24;064033820042;3;0;0;0;0;0;0
2003 38 2;25;064033820109;3;0;0;1;0;0;0
2003 38 2;26;064033820313;3;0;0;0;0;0;0
2003 38 2;27;064033820053;3;0;0;0;0;0;0
2003 38 2;28;064033820921;3;0;0;1;0;0;1
2003 38 2;29;064033820054;3;0;0;0;0;0;0
2003 38 2;30;064033820051;3;0;0;0;0;0;0
2003 38 2;31;064033820312;4;0;0;0;0;0;0
2003 38 2;32;064033820841;4;0;0;1;0;0;0
2003 38 2;33;064033820065;4;0;0;0;0;0;0
2003 38 2;34;064033820317;4;0;0;0;0;0;0
2003 38 2;35;064033820259;4;0;0;0;0;0;0
2003 38 2;36;064033820236;4;0;0;0;0;1;0
2003 38 2;37;064033820345;4;0;0;0;0;0;0
2003 38 2;38;064033820322;4;0;0;0;0;0;0
2003 38 2;39;064033820332;4;0;0;0;0;0;0
2003 38 2;40;064033820316;4;0;0;0;0;0;0
2003 38 2;41;064033820301;4;0;0;0;0;0;0
2003 38 2;42;064033820365;4;0;0;0;0;0;0
2003 38 2;43;064033820243;4;0;0;0;0;0;0
2003 38 2;44;064033820405;4;0;0;0;0;0;0
2003 38 2;45;064033820293;4;0;0;0;0;0;0
2003 38 2;46;064033820266;3;0;0;0;0;0;1
2003 38 2;47;064033820022;3;0;0;1;0;1;0
2003 38 2;48;064033820399;3;0;0;0;0;0;0
2003 38 2;49;064033820349;3;0;0;0;0;0;0
2003 38 2;50;064033820176;3;0;0;0;0;0;0
2003 38 2;51;064033820143;3;0;0;1;0;0;0
2003 38 2;52;064033820095;3;0;0;0;0;0;0
2003 38 2;53;064033820066;3;0;0;0;0;0;0
2003 38 2;54;064033820081;3;0;0;0;0;0;0
2003 38 2;55;064033820098;3;0;0;0;0;0;0
2003 38 2;56;064033820096;3;0;0;0;0;0;0
2003 38 2;57;064033820404;3;0;0;0;0;0;0
2003 38 2;58;064033820366;3;0;0;0;0;0;0
2003 38 2;59;064033820234;3;0;0;1;0;0;1
2003 38 2;60;064033820026;3;0;0;0;0;0;0
2003 38 2;61;064033820160;4;0;0;0;0;0;0
2003 38 2;62;064033820171;4;0;0;0;0;0;0
2003 38 2;63;064033820113;4;0;0;0;0;1;0
2003 38 2;64;064033820272;4;0;0;0;0;0;0
2003 38 2;65;064033820142;4;0;0;0;0;0;0
2003 38 2;66;064033820055;4;0;0;0;0;0;0
2003 38 2;67;064033820330;4;0;0;0;0;0;0
2003 38 2;68;064033820428;4;0;0;0;0;1;0
2003 38 2;69;064033820068;4;0;0;0;0;0;0
2003 38 2;70;064033820335;4;0;0;0;0;0;0
2003 38 2;71;064033820280;4;0;0;0;0;0;0
2003 38 2;72;064033820156;4;0;0;0;0;0;0
2003 38 2;73;064033820221;4;0;0;0;0;0;0
2003 38 2;74;064033820338;4;0;0;0;0;0;0
2003 38 2;75;064033820091;4;0;0;0;0;0;0
2003 38 2;76;064033710317;9;0;1;0;0;0;0
2003 38 2;77;064033820247;2;0;0;1;0;1;1
2003 38 2;78;064033820103;2;0;0;0;0;0;0
2003 38 2;79;064033820334;2;0;0;0;0;0;0
2003 38 2;80;064033820286;2;0;0;1;0;0;0
2003 38 2;81;064033820377;2;0;0;0;0;0;0
2003 38 2;82;064033820375;2;0;0;0;0;0;0
2003 38 2;83;064033820331;2;0;0;1;0;1;0
2003 38 2;84;064033820061;2;0;0;0;0;0;0
2003 38 2;85;064033820194;2;0;0;0;0;0;0
2003 38 2;86;064033820406;2;0;0;0;0;0;0
2003 38 2;87;064033820376;2;0;0;1;0;0;0
2003 38 2;88;064033820260;2;0;0;0;0;0;0
2003 38 2;89;064033820397;2;0;0;0;0;0;0
2003 38 2;90;064033820371;2;0;0;1;0;0;0
2003 38 2;91;064033820391;2;0;0;0;0;1;1
2003 38 2;92;064033820396;4;0;0;0;0;0;0
2003 38 2;93;064033820342;4;0;0;0;0;0;0
2003 38 2;94;064033820205;4;0;0;0;0;0;0
2003 38 2;95;064033820304;4;0;0;0;0;0;0
2003 38 2;96;064033820071;4;0;0;0;0;0;0
2003 38 2;97;064033820250;4;0;0;0;0;0;0
2003 38 2;98;064033820146;4;0;0;0;0;0;0
2003 38 2;99;064033820390;4;0;0;0;0;1;0
2003 38 2;100;064033820005;4;0;0;0;0;0;0
2003 38 2;101;064033820323;4;0;0;1;0;0;0
2003 38 2;102;064033820341;4;0;0;0;0;0;0
2003 38 2;103;064033820084;4;0;0;0;0;0;0
2003 38 2;104;064033820398;4;0;0;0;0;0;0
2003 38 2;105;064033820424;4;0;0;0;0;0;0
2003 38 2;106;064033820344;4;0;0;0;0;0;0
2003 38 2;107;064033820015;3;0;0;0;0;0;0
2003 38 2;108;064033820277;3;0;0;0;0;0;0
2003 38 2;109;064033820425;3;0;0;1;0;0;1
2003 38 2;110;064033820204;3;0;0;0;0;0;0
2003 38 2;111;064033820422;3;0;0;0;0;0;0
2003 38 2;112;064033820048;3;0;0;0;0;0;0
2003 38 2;113;064033820292;3;0;0;0;0;0;0
2003 38 2;114;064033820309;3;0;0;0;0;0;0
2003 38 2;115;064033820402;3;0;0;0;0;0;0
2003 38 2;116;064033820182;3;0;0;0;0;0;0
2003 38 2;117;064033820085;3;0;0;0;0;0;0
2003 38 2;118;064033820104;3;0;0;0;0;0;0
2003 38 2;119;064033820426;3;0;0;0;0;0;0
2003 38 2;120;064033820339;3;0;0;0;0;0;0
2003 38 2;121;064033820300;3;0;0;0;0;1;1
2003 38 2;122;064033820132;4;0;0;1;0;0;0
2003 38 2;123;064033820173;4;0;0;0;0;0;0
2003 38 2;124;064033820370;4;0;0;0;0;0;0
2003 38 2;125;064033820093;4;0;0;0;0;0;0
2003 38 2;126;064033820201;4;0;0;1;0;0;0
2003 38 2;127;064033820149;4;0;0;0;0;0;0
2003 38 2;128;064033820017;4;0;0;0;0;0;0
2003 38 2;129;064033820427;4;0;0;0;0;0;0
2003 38 2;130;064033820107;4;0;0;0;0;0;0
2003 38 2;131;064033820031;4;0;0;0;0;0;0
2003 38 2;132;064033820265;4;0;0;0;0;0;0
2003 38 2;133;064033820270;4;0;0;0;0;0;0
2003 38 2;134;064033820214;4;0;0;0;0;0;0
2003 38 2;135;064033820315;4;0;0;0;0;0;0
2003 38 2;136;064033820326;4;0;0;0;0;0;0
2003 38 2;137;064033820212;6;1;0;0;1;0;0
2003 38 2;138;064033820072;6;0;0;0;0;1;0
2003 38 2;139;064033820241;6;0;0;0;0;0;0
2003 38 2;140;064033820252;6;0;0;0;1;0;0
2003 38 2;141;064033820021;6;0;0;0;0;0;0
2003 38 2;142;064033820191;6;1;0;0;0;0;0
2003 38 2;143;064033820432;6;0;0;0;1;0;0
2003 38 2;144;064033820327;6;0;0;0;0;1;0
2003 38 2;145;064033820076;6;0;0;0;0;0;0
2003 38 2;146;064033820253;6;0;0;0;1;0;0
2003 38 2;147;064033820356;6;0;0;0;0;0;0
2003 38 2;148;064033820295;6;0;0;0;0;0;0
2003 38 2;149;064033820297;6;0;0;0;0;1;0
2003 38 2;150;064033820211;6;0;0;0;1;0;0
2003 38 2;151;064033820209;6;1;0;0;0;0;0
2003 38 2;152;064033820154;4;0;0;0;0;0;0
2003 38 2;153;064033820070;4;0;0;0;0;0;0
2003 38 2;154;064033820046;4;0;0;0;0;0;0
2003 38 2;155;064033820325;4;0;0;0;0;0;0
2003 38 2;156;064033820318;4;0;0;0;0;0;0
2003 38 2;157;064033820249;4;0;0;0;0;0;0
2003 38 2;158;064033820274;4;0;0;0;0;0;0
2003 38 2;159;064033820369;4;0;0;0;0;0;0
2003 38 2;160;064033820348;4;0;0;0;0;0;0
2003 38 2;161;064033820381;4;0;0;1;0;0;0
2003 38 2;162;064033820101;4;0;0;0;0;0;0
2003 38 2;163;064033820393;4;0;0;0;0;0;0
2003 38 2;164;064033820174;4;0;0;0;0;0;0
2003 38 2;165;064033820025;4;0;0;0;0;1;0
2003 38 2;166;064033830543;4;0;0;1;0;0;0
2003 38 2;167;064033710315;9;0;1;0;0;0;0
2003 38 2;168;064033820172;5;0;0;0;0;0;0
2003 38 2;169;064033820858;5;0;0;1;0;0;0
2003 38 2;170;064033820276;5;0;0;0;0;0;0
2003 38 2;171;064033820122;5;0;0;0;0;1;0
2003 38 2;172;064033820336;5;0;0;0;0;0;0
2003 38 2;173;064033820175;5;0;0;0;0;0;0
2003 38 2;174;064033820394;5;0;0;0;0;0;0
2003 38 2;175;064033820023;5;0;0;1;0;0;0
2003 38 2;176;064033820343;5;0;0;0;0;0;0
2003 38 2;177;064033820050;5;0;0;0;0;0;0
2003 38 2;178;064033820367;5;0;0;0;0;0;0
2003 38 2;179;064033820423;5;0;0;1;0;0;0
2003 38 2;180;064033820281;5;0;0;0;0;0;0
2003 38 2;181;064033820282;5;0;0;0;0;0;0
2003 38 2;182;064033820324;5;0;0;0;0;0;0
2003 38 2;183;064033820111;2;0;0;1;0;0;1
2003 38 2;184;064033820165;2;0;0;0;0;0;0
2003 38 2;185;064033820421;2;0;0;0;0;0;0
2003 38 2;186;064033820157;2;0;0;1;0;0;0
2003 38 2;187;064033820064;2;0;0;0;0;0;0
2003 38 2;188;064033820225;2;0;0;0;0;0;0
2003 38 2;189;064033820228;2;0;0;1;0;0;1
2003 38 2;190;064033820125;2;0;0;0;0;0;0
2003 38 2;191;064033820063;2;0;0;0;0;0;0
2003 38 2;192;064033820268;2;0;0;1;0;0;0
2003 38 2;193;064033820180;2;0;0;0;0;0;0
2003 38 2;194;064033820233;2;0;0;0;0;0;0
2003 38 2;195;064033820200;2;0;0;0;0;0;0
2003 38 2;196;064033820392;2;0;0;0;0;0;0
2003 38 2;197;064033820321;2;0;0;1;0;1;1
2003 38 2;198;064033820244;3;0;0;0;0;0;0
2003 38 2;199;064033820219;3;0;0;0;0;0;0
2003 38 2;200;064033820340;3;0;0;0;0;0;0
2003 38 2;201;064033820184;3;0;0;1;0;0;0
2003 38 2;202;064033820246;3;0;0;0;0;0;0
2003 38 2;203;064033820094;3;0;0;0;0;0;0
2003 38 2;204;064033820294;3;0;0;0;0;0;0
2003 38 2;205;064033820127;3;0;0;0;0;0;0
2003 38 2;206;064033820162;3;0;0;0;0;0;0
2003 38 2;207;064033820029;3;0;0;0;0;0;0
2003 38 2;208;064033820167;3;0;0;0;0;0;0
2003 38 2;209;064033820032;3;0;0;0;0;0;0
2003 38 2;210;064033820193;3;0;0;0;0;0;0
2003 38 2;211;064033830573;3;0;0;1;0;0;0
2003 38 2;212;064033820124;3;0;0;0;0;0;1
2003 38 2;213;064033820262;7;0;0;0;0;0;0
2003 38 2;214;064033820027;7;0;0;0;0;0;0
2003 38 2;215;064033820177;7;0;0;0;0;1;0
2003 38 2;216;064033820141;7;0;0;0;0;0;0
2003 38 2;217;064033820164;7;0;0;0;0;0;0
2003 38 2;218;064033820364;7;0;0;0;0;0;0
2003 38 2;219;064033820152;7;0;0;0;0;0;0
2003 38 2;220;064033820040;7;0;0;0;0;0;0
2003 38 2;221;064033820224;7;0;0;0;0;0;0
2003 38 2;222;064033820227;7;0;0;0;0;0;0
2003 38 2;223;064033820431;7;0;0;0;0;0;0
2003 38 2;224;064033820237;7;0;0;1;0;0;0
2003 38 2;225;064033820087;7;0;0;0;0;1;0
2003 38 2;226;064033820395;7;0;0;0;0;0;0
2003 38 2;227;064033820192;7;0;0;0;0;0;0
2003 38 2;228;064033820329;4;0;0;0;0;0;0
2003 38 2;229;064033820307;4;0;0;0;0;0;0
2003 38 2;230;064033820363;4;0;0;0;0;0;0
2003 38 2;231;064033820218;4;0;0;0;0;0;0
2003 38 2;232;064033820401;4;0;0;0;0;0;0
2003 38 2;233;064033820047;4;0;0;0;0;0;0
2003 38 2;234;064033820039;4;0;0;0;0;0;0
2003 38 2;235;064033820028;4;0;0;0;0;0;0
2003 38 2;236;064033820036;4;0;0;0;0;1;0
