Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12
2003 38 6;225;048033910168;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
2003 38 6;226;048033730653;2;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
2003 38 6;227;048033810476;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
2003 38 6;228;048033850062;2;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0
2003 38 6;229;048033850458;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2003 38 6;230;048033820092;3;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
2003 38 6;231;048033850218;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 38 6;232;048033850064;3;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0
2003 38 6;233;048033810372;3;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
2003 38 6;234;048033910181;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 38 6;235;048033860101;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 6;236;048033810468;3;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 6;237;048033850377;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 6;238;048033810296;4;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
2003 38 6;239;048033850468;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 6;240;048033860133;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 6;241;048033850407;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 38 6;242;048033840029;6;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0
2003 39 1;1;048033860128;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;2;048033860076;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;3;048033810503;7;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;4;048033910265;6;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
2003 39 1;5;048033860107;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2003 39 1;6;048033910615;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;7;048033910628;9;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;8;048033860158;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;9;048033820077;5;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;10;048033750482;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2003 39 1;11;048033910378;6;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0
2003 39 1;12;048033860143;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;13;048033910248;5;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;14;048033860106;5;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;15;048033820485;4;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;16;048033910310;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2003 39 1;17;048033910202;7;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;18;048033730674;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;19;048033830075;7;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;20;048033710729;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;21;048033910150;6;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
2003 39 1;22;048033860079;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;23;048033840034;3;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0
2003 39 1;24;048033860117;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;25;048033910900;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;26;048033730575;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;27;048033820063;3;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;28;048033860060;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;29;048033910595;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;30;048033910001;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;31;048033840012;7;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0
2003 39 1;32;048033911021;4;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
